Phase,Tone,Value
LD1,sadness,95.0
LD1,anger,9.0
LD1,fear,16.0
LD1,confident,49.0
LD1,joy,123.0
LD1,tentative,52.0
LD1,analytical,162.0
LD2,anger,7.0
LD2,joy,128.0
LD2,tentative,70.0
LD2,confident,55.0
LD2,fear,11.0
LD2,sadness,91.0
LD2,analytical,160.0
LD3,anger,5.0
LD3,fear,6.0
LD3,tentative,54.0
LD3,analytical,158.0
LD3,sadness,100.0
LD3,joy,121.0
LD3,confident,66.0
LD4,analytical,173.0
LD4,sadness,98.0
LD4,tentative,60.0
LD4,fear,10.0
LD4,confident,62.0
LD4,anger,7.0
LD4,joy,131.0
Unlock1,anger,7.0
Unlock1,tentative,58.0
Unlock1,sadness,122.0
Unlock1,joy,96.0
Unlock1,analytical,177.0
Unlock1,confident,58.0
Unlock1,fear,11.0
