Phase,topic_data,topic_count
LD1,"people, india, virus, one, govt, please, day, state, country, time",26782
LD1,"u, day, may, india, due, get, people, n, sir, patient",24360
LD1,"india, people, patient, like, day, sir, delhi, time, please, virus",22961
LD1,"one, people, time, please, go, u, need, also, due, govt",22741
LD1,"people, u, please, sir, time, government, fight, app, one, due",21408
LD1,"case, people, india, virus, today, government, u, death, new_case, delhi",20824
LD1,"u, due, fight, time, india, people, today, crisis, need, life",18184
LD1,"time, day, india, virus, case, world, u, country, good, thank",17669
LD1,"govt, home, people, one, fight, india, work, country, time, state",16647
LD1,"help, u, india, virus, people, fight, sir, many, china, due",15839
LD2,"u, day, may, india, due, get, people, n, sir, patient",17494
LD2,"people, india, virus, one, govt, please, day, state, country, time",15795
LD2,"people, u, please, sir, time, government, fight, app, one, due",14481
LD2,"one, people, time, please, go, u, need, also, due, govt",14396
LD2,"india, people, patient, like, day, sir, delhi, time, please, virus",14167
LD2,"case, people, india, virus, today, government, u, death, new_case, delhi",13806
LD2,"govt, home, people, one, fight, india, work, country, time, state",12046
LD2,"u, due, fight, time, india, people, today, crisis, need, life",11591
LD2,"help, u, india, virus, people, fight, sir, many, china, due",10933
LD2,"time, day, india, virus, case, world, u, country, good, thank",10874
LD3,"u, day, may, india, due, get, people, n, sir, patient",9799
LD3,"people, india, virus, one, govt, please, day, state, country, time",9505
LD3,"case, people, india, virus, today, government, u, death, new_case, delhi",8741
LD3,"india, people, patient, like, day, sir, delhi, time, please, virus",8562
LD3,"people, u, please, sir, time, government, fight, app, one, due",8183
LD3,"one, people, time, please, go, u, need, also, due, govt",8016
LD3,"u, due, fight, time, india, people, today, crisis, need, life",7150
LD3,"govt, home, people, one, fight, india, work, country, time, state",6703
LD3,"help, u, india, virus, people, fight, sir, many, china, due",6200
LD3,"time, day, india, virus, case, world, u, country, good, thank",6117
LD4,"u, day, may, india, due, get, people, n, sir, patient",8406
LD4,"people, india, virus, one, govt, please, day, state, country, time",7295
LD4,"case, people, india, virus, today, government, u, death, new_case, delhi",6968
LD4,"india, people, patient, like, day, sir, delhi, time, please, virus",6558
LD4,"one, people, time, please, go, u, need, also, due, govt",6276
LD4,"people, u, please, sir, time, government, fight, app, one, due",6183
LD4,"u, due, fight, time, india, people, today, crisis, need, life",5887
LD4,"govt, home, people, one, fight, india, work, country, time, state",5319
LD4,"help, u, india, virus, people, fight, sir, many, china, due",4892
LD4,"time, day, india, virus, case, world, u, country, good, thank",4663
Unlock1,"case, people, india, virus, today, government, u, death, new_case, delhi",15027
Unlock1,"india, people, patient, like, day, sir, delhi, time, please, virus",12151
Unlock1,"u, day, may, india, due, get, people, n, sir, patient",11624
Unlock1,"people, india, virus, one, govt, please, day, state, country, time",11450
Unlock1,"u, due, fight, time, india, people, today, crisis, need, life",9868
Unlock1,"one, people, time, please, go, u, need, also, due, govt",8654
Unlock1,"people, u, please, sir, time, government, fight, app, one, due",8363
Unlock1,"govt, home, people, one, fight, india, work, country, time, state",7498
Unlock1,"time, day, india, virus, case, world, u, country, good, thank",7023
Unlock1,"help, u, india, virus, people, fight, sir, many, china, due",6611
