Phase,hashtag,value
LD1,#COVID19,16627
LD1,#coronavirus,10246
LD1,#lockdown,10199
LD1,#COVID,6300
LD1,#Covid_19,6153
LD1,#StayHome,6078
LD1,#IndiaFightsCorona,5167
LD1,#Corona,4706
LD1,#COVID2019,4110
LD1,#stayhome,3942
LD2,#COVID19,10569
LD2,#lockdown,8401
LD2,#Covid_19,6732
LD2,#coronavirus,6100
LD2,#StayHome,4078
LD2,#COVID,4062
LD2,#IndiaFightsCorona,3294
LD2,#stayhome,2388
LD2,#Corona,2351
LD2,#covid19,2177
LD3,#COVID19,7032
LD3,#lockdown,4586
LD3,#coronavirus,3487
LD3,#Covid_19,3060
LD3,#COVID,2568
LD3,#IndiaFightsCorona,1703
LD3,#covid19,1430
LD3,#stayhome,1416
LD3,#StayHome,1314
LD3,#Corona,1074
LD4,#COVID19,4116
LD4,#coronavirus,2520
LD4,#Covid_19,2489
LD4,#lockdown,2359
LD4,#COVID,1341
LD4,#IndiaFightsCorona,1204
LD4,#covid19,1197
LD4,#COVID__19,949
LD4,#Covid19,905
LD4,#Corona,865
Unlock1,#COVID19,10126
Unlock1,#coronavirus,4695
Unlock1,#Covid_19,2198
Unlock1,#COVID,1746
Unlock1,#lockdown,1707
Unlock1,#Covid19,1653
Unlock1,#covid19,1353
Unlock1,#COVID19India,1034
Unlock1,#COVID__19,985
Unlock1,#Corona,932
