topic_data,topic_count
"case, people, india, virus, today, government, u, death, new_case, delhi",15027
"govt, home, people, one, fight, india, work, country, time, state",7498
"help, u, india, virus, people, fight, sir, many, china, due",6611
"india, people, patient, like, day, sir, delhi, time, please, virus",12151
"one, people, time, please, go, u, need, also, due, govt",8654
"people, india, virus, one, govt, please, day, state, country, time",11450
"people, u, please, sir, time, government, fight, app, one, due",8363
"time, day, india, virus, case, world, u, country, good, thank",7023
"u, day, may, india, due, get, people, n, sir, patient",11624
"u, due, fight, time, india, people, today, crisis, need, life",9868
